Breed week Proportion_survived station country Breed_Station
Horro 21 1 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 22 0.9921875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 23 0.9609375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 24 0.953125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 25 0.921875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 26 0.90625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 27 0.90625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 28 0.8828125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 29 0.8359375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 30 0.7890625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 31 0.78125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 32 0.78125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 33 0.78125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 34 0.78125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 35 0.78125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 36 0.7421875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 37 0.7421875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 38 0.734375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 39 0.71875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 40 0.703125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 41 0.6953125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 42 0.6953125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 43 0.6875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 44 0.671875 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 45 0.6640625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 46 0.65625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 47 0.640625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 48 0.6328125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 49 0.6328125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 50 0.625 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 51 0.609375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 52 0.59375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 53 0.59375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 54 0.59375 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 55 0.578125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 56 0.578125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 57 0.578125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 58 0.578125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 59 0.5703125 Debrezeit Ethiopia Horro_at_Debrezeit
Horro 60 0.5703125 Debrezeit Ethiopia Horro_at_Debrezeit
Koekoek 21 1 Debrezeit Ethiopia Koekoek_at_Debrezeit
Koekoek 22 1 Debrezeit Ethiopia Koekoek_at_Debrezeit
Koekoek 23 1 Debrezeit Ethiopia Koekoek_at_Debrezeit
Koekoek 24 0.982456140350877 Debrezeit Ethiopia Koekoek_at_Debrezeit
Koekoek 25 0.982456140350877 Debrezeit Ethiopia Koekoek_at_Debrezeit
